# miss_ratio	in_grid_greedy-plus-merge	in_grid_sorted-points	in_grid_dense-bitset	in_grid_block-bitmap	in_grid_roaring	in_grid_lex-run	in_grid_row-csr-k1	in_grid_row-csr-k2	out_of_grid_greedy-plus-merge	out_of_grid_sorted-points	out_of_grid_dense-bitset	out_of_grid_block-bitmap	out_of_grid_roaring	out_of_grid_lex-run	out_of_grid_row-csr-k1	out_of_grid_row-csr-k2
0.000	62.247	136.072	14169.605	46740.578	514.004	130.005	96.380	110.741	40.791	121.130	14176.209	46761.594	485.877	115.281	62.630	75.348
0.010	50.393	104.655	14005.293	46250.989	469.796	100.213	79.533	63.530	52.789	107.366	14005.213	46372.441	504.474	98.419	79.254	89.409
0.100	43.551	103.302	12767.535	42160.971	477.740	103.660	65.299	77.489	43.726	93.630	12774.327	42183.799	443.939	98.521	55.955	71.818
0.500	50.474	110.483	7026.283	23222.944	437.958	110.642	64.563	90.644	50.278	101.291	7028.136	23248.359	256.116	100.653	71.068	84.686
1.000	45.882	99.920	6.328	5.398	322.561	101.587	39.812	81.229	46.180	88.737	10.735	10.123	10.271	86.699	54.216	73.109
