# scenario	IPT_mean	IPT_p10	IPT_p90	SortedPoints_mean	SortedPoints_p10	SortedPoints_p90	DenseBitset_mean	DenseBitset_p10	DenseBitset_p90	BlockBitmap_mean	BlockBitmap_p10	BlockBitmap_p90	Roaring_mean	Roaring_p10	Roaring_p90	LexRun_mean	LexRun_p10	LexRun_p90	RowCSR1_mean	RowCSR1_p10	RowCSR1_p90	RowCSR2_mean	RowCSR2_p10	RowCSR2_p90
2-L	50.308	48.904	51.562	110.496	109.318	111.420	1407.344	1376.854	1446.984	5392.158	5279.180	5544.576	198.832	195.633	201.830	116.276	115.562	116.920	94.544	93.958	95.082	110.982	108.578	115.086
3-steps	44.810	44.540	45.002	127.616	123.978	131.284	4032.368	3936.640	4156.788	16206.123	15779.408	16699.796	331.800	319.769	344.409	164.502	149.096	178.368	115.554	111.267	119.936	138.594	129.838	148.361
4-overlap	79.438	78.744	80.668	208.072	174.860	236.853	13875.654	13561.799	14208.400	56527.190	55251.582	58240.115	845.867	834.129	860.799	268.791	250.206	289.801	177.732	167.996	192.274	207.972	182.970	243.657
5-mixed	92.334	85.965	99.530	267.091	235.639	288.893	19042.260	18539.607	19762.781	74833.780	73108.362	77286.552	612.079	599.207	625.825	302.004	291.430	311.167	177.274	157.918	201.098	271.092	266.708	277.386
6-bands	156.040	140.142	171.982	256.256	247.020	265.513	18929.507	18538.874	19520.156	74765.908	73095.774	76937.963	681.747	674.655	687.483	317.260	305.640	327.221	185.794	168.816	208.550	276.348	271.078	282.212
7-large	198.794	177.120	217.656	287.180	276.322	298.100	25223.168	24404.787	26074.721	100105.515	97763.613	102942.429	1177.020	1153.031	1199.089	379.981	375.925	383.314	245.644	236.826	252.228	290.602	278.156	303.204
12-3D	72.284	71.062	73.553	123.698	121.610	125.142	4599.627	4486.163	4749.097	4843.801	4743.929	4971.909	119.368	118.106	120.575	90.062	89.026	91.032	106.734	105.758	108.116	104.120	101.153	107.538
16-3D	91.356	89.482	93.720	253.485	244.456	263.751	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	196.724	127.378	243.852	198.080	193.244	203.108	156.169	149.584	162.263
36-3D	112.434	110.173	114.782	593.103	585.909	598.787	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	322.998	318.159	327.895	585.439	581.449	590.763	438.216	432.058	444.336
